3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
OXO2Ctm_f, oxag_5 --> oxag_m_5
PC, hco3_1 + pyr_1_2_3 --> oaa_1_2_3_4
CITtcm_b, icit_3_4 --> icit_m_3_4
CITtcm_b, icit_2_3_5_6 --> icit_m_2_3_5_6
CITtcm_b, icit_3_4_5 --> icit_m_3_4_5
CITtcm_b, icit_3_5 --> icit_m_3_5
CITtcm_b, icit_2 --> icit_m_2
CITtcm_b, icit_3_5_6 --> icit_m_3_5_6
CITtcm_b, icit_3 --> icit_m_3
CITtcm_b, icit_2_3_4 --> icit_m_2_3_4
CITtcm_b, icit_2_3 --> icit_m_2_3
CITtcm_b, icit_3_4_5_6 --> icit_m_3_4_5_6
CITtcm_b, icit_2_3_5 --> icit_m_2_3_5
ARGSL_b, (0.5) fum_2_3_4 --> (0.5) argsuc_8_9_10
ARGSL_b, (0.5) fum_4 --> (0.5) argsuc_10
ARGSL_b, fum_2_3 --> argsuc_8_9
ARGSL_b, (0.5) fum_3 --> (0.5) argsuc_9
ARGSL_b, (0.5) fum_4 --> (0.5) argsuc_7
ARGSL_b, (0.5) fum_3_4 --> (0.5) argsuc_9_10
ARGSL_b, (0.5) fum_3 --> (0.5) argsuc_8
ARGSL_b, (0.5) fum_2_3_4 --> (0.5) argsuc_7_8_9
ARGSL_b, (0.5) fum_3_4 --> (0.5) argsuc_7_8
ARGSL_f, (0.5) argsuc_10 --> (0.5) fum_1
ARGSL_b, (0.5) fum_2 --> (0.5) argsuc_9
ACONT_f, cit_3 --> icit_3
ACONT_f, cit_4 --> icit_4
ACONT_f, cit_3_4_5_6 --> icit_3_4_5_6
ACONT_f, cit_2_3_4 --> icit_2_3_4
ACONT_f, cit_3_5 --> icit_3_5
ACONT_f, cit_2_3_5_6 --> icit_2_3_5_6
ACONT_f, cit_3_5_6 --> icit_3_5_6
ACONT_f, cit_5 --> icit_5
ACONT_f, cit_3_4_5 --> icit_3_4_5
ACONT_f, cit_2_3_5 --> icit_2_3_5
ACONT_f, cit_3_4 --> icit_3_4
G6Pter_b, g6p_r_4 --> g6p_4
G6Pter_b, g6p_r_5_6 --> g6p_5_6
G6Pter_f, g6p_1_2 --> g6p_r_1_2
G6Pter_b, g6p_r_3_4_5_6 --> g6p_3_4_5_6
G6Pter_b, g6p_r_5 --> g6p_5
G6Pter_f, g6p_1 --> g6p_r_1
G6Pter_b, g6p_r_4_5_6 --> g6p_4_5_6
G6Pter_b, g6p_r_6 --> g6p_6
G6Pter_b, g6p_r_3 --> g6p_3
G6Pter_b, g6p_r_4_5 --> g6p_4_5
G6Pter_f, g6p_1_2_3 --> g6p_r_1_2_3
ACONTm_b, icit_m_2_3_4 --> cit_m_2_3_4
ACONTm_b, icit_m_3 --> cit_m_3
ACONTm_b, icit_m_2_3_5_6 --> cit_m_2_3_5_6
ACONTm_b, icit_m_2_3_5 --> cit_m_2_3_5
ACONTm_b, icit_m_3_4_5 --> cit_m_3_4_5
ACONTm_b, icit_m_3_4_5_6 --> cit_m_3_4_5_6
ACONTm_b, icit_m_1_2_3_5_6 --> cit_m_1_2_3_5_6
ACONTm_b, icit_m_1_2_3 --> cit_m_1_2_3
ACONTm_b, icit_m_2_3 --> cit_m_2_3
ACONTm_b, icit_m_1_2_3_4 --> cit_m_1_2_3_4
ACONTm_b, icit_m_3_4 --> cit_m_3_4
ACONTm_b, icit_m_2 --> cit_m_2
ACONT_b, icit_5_6 --> cit_5_6
ACONT_f, cit_1_2_3_4 --> icit_1_2_3_4
ACONT_f, cit_1_2 --> icit_1_2
ACONT_f, cit_1 --> icit_1
ACONT_f, cit_2 --> icit_2
ACONT_f, cit_1_2_3_5_6 --> icit_1_2_3_5_6
ACONT_f, cit_2_3 --> icit_2_3
ACONT_b, icit_4 --> cit_4
ACONT_f, cit_1_2_3 --> icit_1_2_3
ACONT_b, icit_6 --> cit_6
ACONT_b, icit_5 --> cit_5
ALATA_Lm_f, akg_m_4_5 --> glu-L_m_4_5
ALATA_Lm_f, akg_m_4 --> glu-L_m_4
ALATA_Lm_f, akg_m_3 --> glu-L_m_3
ALATA_Lm_f, akg_m_5 --> glu-L_m_5
ALATA_Lm_f, ala-L_m_1_2 --> pyr_m_1_2
ALATA_Lm_f, akg_m_3_4_5 --> glu-L_m_3_4_5
ALATA_Lm_f, akg_m_3_4 --> glu-L_m_3_4
ALATA_Lm_f, ala-L_m_1 --> pyr_m_1
ALATA_Lm_f, akg_m_2_3_4 --> glu-L_m_2_3_4
ALATA_Lm_f, akg_m_2_3_4_5 --> glu-L_m_2_3_4_5
CO2t_b, co2_1 --> co2_e_1
CITtcm_f, icit_m_5_6 --> icit_5_6
CITtcm_f, icit_m_6 --> icit_6
CITtcm_f, icit_m_4 --> icit_4
CO2t_f, co2_e_1 --> co2_1
CITtcm_f, icit_m_3_5 --> icit_3_5
CITtcm_f, icit_m_3_4 --> icit_3_4
CITtcm_f, icit_m_3_4_5_6 --> icit_3_4_5_6
CITtcm_f, icit_m_3_5_6 --> icit_3_5_6
CITtcm_f, icit_m_5 --> icit_5
CITtcm_f, icit_m_3_4_5 --> icit_3_4_5
ALATA_Lm_f, ala-L_m_2 --> pyr_m_2
ALCD2x_f, etoh_1 --> acald_1
ALDD2y, acald_1 --> ac_1
ALATA_Lm_f, ala-L_m_3 --> pyr_m_3
ALCD2x_b, acald_1 --> etoh_1
ALCD2x_f, etoh_1_2 --> acald_1_2
ALCD2x_b, acald_1_2 --> etoh_1_2
ALATA_Lm_f, ala-L_m_2_3 --> pyr_m_2_3
ALATA_Lm_f, ala-L_m_1_2_3 --> pyr_m_1_2_3
ALCD2x_f, etoh_2 --> acald_2
ALCD2x_b, acald_2 --> etoh_2
AGTi, ala-L_1 --> pyr_1
ADSS, asp-L_3_4 --> dcamp_3_4
ADSS, asp-L_1_2_3 --> dcamp_1_2_3
ADSS, asp-L_3 --> dcamp_3
ADSS, asp-L_2_3 --> dcamp_2_3
AGPRim, acg5p_m_1_2_3_4_5 --> acg5sa_m_1_2_3_4_5
ADSS, asp-L_2_3_4 --> dcamp_2_3_4
ADSS, asp-L_1_2_3_4 --> dcamp_1_2_3_4
ADSS, asp-L_4 --> dcamp_4
AGTi, ala-L_1_2 --> pyr_1_2
ADSS, asp-L_2 --> dcamp_2
CITtcm_f, cit_6 --> cit_m_6
CITtcm_f, cit_3_4_5 --> cit_m_3_4_5
CITtcm_f, icit_m_1 --> icit_1
CITtcm_f, cit_5_6 --> cit_m_5_6
CITtcm_f, icit_m_1_2_3 --> icit_1_2_3
CITtcm_f, cit_3_4_5_6 --> cit_m_3_4_5_6
CITtcm_f, cit_3_5 --> cit_m_3_5
CITtcm_f, icit_m_1_2_3_4 --> icit_1_2_3_4
CITtcm_f, cit_3_5_6 --> cit_m_3_5_6
CITtcm_f, icit_m_1_2 --> icit_1_2
CITtcm_f, cit_4 --> cit_m_4
CITtcm_f, cit_5 --> cit_m_5
ASPTAm_b, glu-L_m_5 --> akg_m_5
FAS140, malcoa_3 --> co2_1
FAS120COA, malcoa_3 --> co2_1
FAS160, malcoa_3 --> co2_1
FAS140COA, malcoa_3 --> co2_1
FAS160COA, malcoa_3 --> co2_1
CITtam_f, cit_5 --> cit_m_5
CITtam_f, cit_3_5 --> cit_m_3_5
CITtam_f, cit_4 --> cit_m_4
CITtam_f, cit_3_5_6 --> cit_m_3_5_6
CITtam_f, cit_3_4_5_6 --> cit_m_3_4_5_6
THRD_Lm, thr-L_m_1_2_3_4 --> 2obut_m_1_2_3_4
THRAi, thr-L_3_4 --> acald_1_2
THRS, phom_1_2 --> thr-L_1_2
THRS, phom_3 --> thr-L_3
THRAi, thr-L_4 --> acald_2
THRS, phom_1_2_3_4 --> thr-L_1_2_3_4
6PGLter_f, 6pgl_4_5 --> 6pgl_r_4_5
ACL, cit_4 --> oaa_4
ACL, cit_1_2_3 --> oaa_1_2_3
ACL, cit_3_4 --> oaa_3_4
ACL, cit_1_2_3_4 --> oaa_1_2_3_4
ACL, cit_3 --> oaa_3
ACL, cit_2_3_4 --> oaa_2_3_4
ACL, cit_1_2 --> oaa_1_2
ACL, cit_2_3 --> oaa_2_3
ACL, cit_2 --> oaa_2
3C3HMPtm_b, 3c3hmp_m_1_2_3_4_5_6 --> 3c3hmp_1_2_3_4_5_6
ACL, cit_5_6 --> accoa_1_2
6PGLter_b, 6pgl_r_5 --> 6pgl_5
6PGLter_b, 6pgl_r_4_5_6 --> 6pgl_4_5_6
ALATA_L_f, ala-L_3 --> pyr_3
ALATA_L_f, ala-L_1_2 --> pyr_1_2
ALATA_L_f, ala-L_1 --> pyr_1
ALATA_L_f, ala-L_1_2_3 --> pyr_1_2_3
ALATA_Lm_b, glu-L_m_1 --> akg_m_1
ALATA_L_f, akg_5 --> glu-L_5
ALATA_Lm_b, glu-L_m_1_2_3_4_5 --> akg_m_1_2_3_4_5
ALATA_L_f, ala-L_2 --> pyr_2
ALATA_L_f, ala-L_2_3 --> pyr_2_3
ALATA_L_f, akg_4 --> glu-L_4
ALATA_L_f, akg_4_5 --> glu-L_4_5
G6PDH2er, g6p_r_4 --> 6pgl_r_4
G6PDH2, g6p_6 --> 6pgl_6
G6PDH2, g6p_4_5 --> 6pgl_4_5
G6PDH2er, g6p_r_3_4_5_6 --> 6pgl_r_3_4_5_6
G6PDH2er, g6p_r_3 --> 6pgl_r_3
G6PDH2er, g6p_r_2_3 --> 6pgl_r_2_3
G6PDH2er, g6p_r_1 --> 6pgl_r_1
G6PDH2, g6p_5 --> 6pgl_5
G6PDH2, g6p_5_6 --> 6pgl_5_6
G6PDH2, g6p_4_5_6 --> 6pgl_4_5_6
G6PDH2er, g6p_r_2 --> 6pgl_r_2
GND, 6pgc_4 --> ru5p-D_3
GND, 6pgc_4_5_6 --> ru5p-D_3_4_5
GND, 6pgc_3 --> ru5p-D_2
LEUTA_b, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
GND, 6pgc_4_5 --> ru5p-D_3_4
GND, 6pgc_1 --> co2_1
GND, 6pgc_5_6 --> ru5p-D_4_5
GMPS2, gln-L_5 --> glu-L_5
GND, 6pgc_3_4_5_6 --> ru5p-D_2_3_4_5
GND, 6pgc_5 --> ru5p-D_4
GND, 6pgc_2_3 --> ru5p-D_1_2
GND, 6pgc_2 --> ru5p-D_1
ILETAm_b, glu-L_m_3 --> akg_m_3
ILETAm_b, glu-L_m_4_5 --> akg_m_4_5
ILETAm_f, akg_m_1 --> glu-L_m_1
ILETAm_b, glu-L_m_4 --> akg_m_4
ILETAm_b, glu-L_m_3_4 --> akg_m_3_4
ILETAm_f, akg_m_1_2_3_4_5 --> glu-L_m_1_2_3_4_5
ILETAm_b, glu-L_m_2_3_4_5 --> akg_m_2_3_4_5
ILETAm_b, glu-L_m_2_3 --> akg_m_2_3
ILETAm_b, glu-L_m_3_4_5 --> akg_m_3_4_5
ILETAm_b, glu-L_m_5 --> akg_m_5
ILETAm_b, glu-L_m_2_3_4 --> akg_m_2_3_4
ALATA_L_f, akg_2 --> glu-L_2
ALATA_L_f, akg_1 --> glu-L_1
ALATA_L_b, pyr_2_3 --> ala-L_2_3
ALATA_L_f, akg_3 --> glu-L_3
ALATA_L_f, akg_2_3_4_5 --> glu-L_2_3_4_5
ALATA_L_f, akg_2_3 --> glu-L_2_3
ALATA_L_f, akg_3_4_5 --> glu-L_3_4_5
ALATA_L_f, akg_3_4 --> glu-L_3_4
ALATA_L_b, pyr_3 --> ala-L_3
ALATA_L_f, akg_2_3_4 --> glu-L_2_3_4
ALATA_L_f, akg_1_2_3_4_5 --> glu-L_1_2_3_4_5
ASPTAm_f, asp-L_m_1_2 --> oaa_m_1_2
ASPTAm_f, akg_m_4_5 --> glu-L_m_4_5
ASPTAm_f, asp-L_m_2_3 --> oaa_m_2_3
ASPTAm_f, asp-L_m_1_2_3_4 --> oaa_m_1_2_3_4
ASPTAm_f, asp-L_m_1_2_3 --> oaa_m_1_2_3
ASPTAm_f, asp-L_m_1 --> oaa_m_1
ASPTAm_f, asp-L_m_2_3_4 --> oaa_m_2_3_4
ASPTAm_f, asp-L_m_3 --> oaa_m_3
ASPTAm_f, asp-L_m_2 --> oaa_m_2
ASPTAm_f, asp-L_m_3_4 --> oaa_m_3_4
ASPTAm_f, akg_m_5 --> glu-L_m_5
ACOTAim, glu-L_m_3_4_5 --> akg_m_3_4_5
ACOTAim, glu-L_m_1_2_3_4_5 --> akg_m_1_2_3_4_5
ACOTAim, glu-L_m_2_3_4 --> akg_m_2_3_4
ACOTAim, glu-L_m_3 --> akg_m_3
ACOTAim, glu-L_m_4_5 --> akg_m_4_5
ACOTAim, glu-L_m_4 --> akg_m_4
ACOTAim, glu-L_m_2_3 --> akg_m_2_3
ACOTAim, glu-L_m_2 --> akg_m_2
ACOTAim, glu-L_m_2_3_4_5 --> akg_m_2_3_4_5
ACOTAim, glu-L_m_5 --> akg_m_5
ACOTAim, glu-L_m_3_4 --> akg_m_3_4
CBPS, gln-L_4_5 --> glu-L_4_5
CBPS, gln-L_3_4_5 --> glu-L_3_4_5
CBPS, gln-L_4 --> glu-L_4
CBPS, gln-L_2_3_4_5 --> glu-L_2_3_4_5
CBPS, gln-L_1_2_3_4_5 --> glu-L_1_2_3_4_5
CBPS, gln-L_3 --> glu-L_3
CBPS, gln-L_2_3_4 --> glu-L_2_3_4
CBPS, gln-L_2_3 --> glu-L_2_3
CBPS, gln-L_2 --> glu-L_2
CBPS, gln-L_3_4 --> glu-L_3_4
RPI_f, r5p_2 --> ru5p-D_2
RPI_b, ru5p-D_3_4 --> r5p_3_4
RPI_b, ru5p-D_4_5 --> r5p_4_5
RPI_f, r5p_2_3_4_5 --> ru5p-D_2_3_4_5
RPI_b, ru5p-D_3_4_5 --> r5p_3_4_5
RPI_f, r5p_1_2 --> ru5p-D_1_2
RPI_b, ru5p-D_5 --> r5p_5
RPI_f, r5p_1 --> ru5p-D_1
RPI_f, r5p_3 --> ru5p-D_3
RPI_b, ru5p-D_4 --> r5p_4
DHAD1m, 23dhmb_m_1_2_3_4_5 --> 3mob_m_1_2_3_4_5
DDPA, e4p_1_2_3_4 + pep_1_2_3 --> 2dda7p_1_2_3_4_5_6_7
CSm, oaa_m_3_4 --> cit_m_1_2
CYSS, acser_4 --> ac_1
CYSS, acser_5 --> ac_2
CYSS, acser_4_5 --> ac_1_2
CSm, oaa_m_4 --> cit_m_1
DHAD1m, 23dhmb_m_1_2_3_4 --> 3mob_m_1_2_3_4
ARGSSr, asp-L_1 --> argsuc_7
ARGSSr, asp-L_2_3_4 --> argsuc_8_9_10
ARGSSr, asp-L_1_2 --> argsuc_7_8
ARGSSr, asp-L_3_4 --> argsuc_9_10
ARGSSr, asp-L_4 --> argsuc_10
ARGSL_f, (0.5) argsuc_9_10 --> (0.5) fum_3_4
ARGSSr, asp-L_2_3 --> argsuc_8_9
ARGSSr, asp-L_1_2_3 --> argsuc_7_8_9
ARGSSr, asp-L_2 --> argsuc_8
ARGSSr, asp-L_1_2_3_4 --> argsuc_7_8_9_10
ARGSSr, asp-L_3 --> argsuc_9
FBA_f, fdp_1_2_3 --> g3p_1_2_3
FBA_f, fdp_5_6 --> dhap_2_3
FBA_f, fdp_4_5_6 --> dhap_1_2_3
FBA_f, fdp_2 --> g3p_2
FBA_f, fdp_5 --> dhap_2
FBA_f, fdp_2_3 --> g3p_1_2
FBA_f, fdp_1_2 --> g3p_2_3
FBA_f, fdp_4 --> dhap_1
FBA_f, fdp_4_5 --> dhap_1_2
FBA_f, fdp_3 --> g3p_1
FBA_f, fdp_1 --> g3p_3
ENO_b, pep_2_3 --> 2pg_2_3
ENO_f, 2pg_1_2_3 --> pep_1_2_3
ENO_b, pep_3 --> 2pg_3
ENO_f, 2pg_1_2 --> pep_1_2
ENO_f, 2pg_1 --> pep_1
ACONTm_b, icit_m_5_6 --> cit_m_5_6
ACONTm_f, cit_m_2_3 --> icit_m_2_3
ACONTm_f, cit_m_2_3_5_6 --> icit_m_2_3_5_6
ACONTm_f, cit_m_2_3_4 --> icit_m_2_3_4
ACONTm_f, cit_m_2_3_5 --> icit_m_2_3_5
ACONTm_f, cit_m_1_2_3_4 --> icit_m_1_2_3_4
ACONTm_f, cit_m_1_2_3_5_6 --> icit_m_1_2_3_5_6
ACONTm_f, cit_m_1_2_3 --> icit_m_1_2_3
ACONTm_f, cit_m_2 --> icit_m_2
ACONTm_b, icit_m_6 --> cit_m_6
ACONTm_f, cit_m_1 --> icit_m_1
ACONTm_f, cit_m_1_2 --> icit_m_1_2
ALATA_Lm_b, glu-L_m_5 --> akg_m_5
ALATA_Lm_f, akg_m_1_2_3_4_5 --> glu-L_m_1_2_3_4_5
ALATA_Lm_b, pyr_m_1_2_3 --> ala-L_m_1_2_3
ALATA_Lm_b, pyr_m_3 --> ala-L_m_3
ALATA_Lm_b, pyr_m_2_3 --> ala-L_m_2_3
ALATA_Lm_f, akg_m_1 --> glu-L_m_1
ALATA_Lm_f, akg_m_2_3 --> glu-L_m_2_3
ALATA_Lm_b, pyr_m_1_2 --> ala-L_m_1_2
ALATA_Lm_b, pyr_m_1 --> ala-L_m_1
ALATA_Lm_b, pyr_m_2 --> ala-L_m_2
ALATA_Lm_f, akg_m_2 --> glu-L_m_2
ACCOACr_f, accoa_2 --> malcoa_2
ACCOACr_f, accoa_1_2 --> malcoa_1_2
ACCOACr_b, malcoa_2 --> accoa_2
ACGSm, glu-L_m_1_2_3_4_5 --> acglu_m_1_2_3_4_5
ACCOACr_f, accoa_1 --> malcoa_1
ACCOACr_b, malcoa_3 --> hco3_1
ACGKm, acglu_m_1_2_3_4_5 --> acg5p_m_1_2_3_4_5
ACCOACr_f, hco3_1 --> malcoa_3
ACONTm_b, icit_m_1 --> cit_m_1
ACONT_f, cit_5_6 --> icit_5_6
ACONT_f, cit_6 --> icit_6
ACONTm_b, icit_m_1_2 --> cit_m_1_2
CITtam_b, cit_m_2_3_5_6 --> cit_2_3_5_6
CITtam_b, cit_m_3 --> cit_3
ACONT_b, icit_3_5 --> cit_3_5
ACONT_b, icit_3 --> cit_3
ACONT_b, icit_3_4_5_6 --> cit_3_4_5_6
ACONT_b, icit_2_3_5 --> cit_2_3_5
ACONT_b, icit_3_4 --> cit_3_4
ACONT_b, icit_3_4_5 --> cit_3_4_5
ACONT_b, icit_3_5_6 --> cit_3_5_6
ACONT_b, icit_2_3_4 --> cit_2_3_4
ACONT_b, icit_2_3_5_6 --> cit_2_3_5_6
ACONT_b, icit_2_3 --> cit_2_3
6PGLter_b, 6pgl_r_4_5 --> 6pgl_4_5
CITtam_b, cit_m_3_5_6 --> cit_3_5_6
CITtam_b, cit_m_4 --> cit_4
AATA_b, akg_5 --> glu-L_5
3C4MOPtm_b, 3c4mop_m_7 --> 3c4mop_7
ACL, cit_5 --> accoa_1
ACS, ac_1_2 --> accoa_1_2
ACS, ac_1 --> accoa_1
6PGLter_f, 6pgl_6 --> 6pgl_r_6
CITtcm_b, cit_m_3_4_5_6 --> cit_3_4_5_6
CITtcm_b, cit_m_3_5 --> cit_3_5
AATA_b, akg_3_4 --> glu-L_3_4
6PGLter_f, 6pgl_3 --> 6pgl_r_3
6PGLter_f, 6pgl_3_4_5_6 --> 6pgl_r_3_4_5_6
6PGLter_f, 6pgl_4 --> 6pgl_r_4
6PGLter_b, 6pgl_r_3_4_5_6 --> 6pgl_3_4_5_6
6PGLter_b, 6pgl_r_4 --> 6pgl_4
AATA_b, akg_4_5 --> glu-L_4_5
6PGLter_b, 6pgl_r_1 --> 6pgl_1
AATA_b, akg_3 --> glu-L_3
AATA_b, akg_2_3_4_5 --> glu-L_2_3_4_5
ASPTAm_b, oaa_m_1_2 --> asp-L_m_1_2
ASPTAm_b, oaa_m_1 --> asp-L_m_1
ACtr_f, ac_e_1 --> ac_1
ACtr_b, ac_1 --> ac_e_1
ACt2r_f, ac_e_2 --> ac_2
ACtr_b, ac_2 --> ac_e_2
ACtr_b, ac_1_2 --> ac_e_1_2
CITtcm_f, cit_2 --> cit_m_2
CITtcm_f, cit_1_2_3_5_6 --> cit_m_1_2_3_5_6
CITtcm_f, cit_1_2_3_4 --> cit_m_1_2_3_4
CITtcm_b, icit_4 --> icit_m_4
CITtcm_b, icit_5 --> icit_m_5
CITtcm_f, cit_1 --> cit_m_1
CITtcm_f, cit_1_2 --> cit_m_1_2
CITtcm_f, cit_1_2_3 --> cit_m_1_2_3
CITtcm_b, icit_5_6 --> icit_m_5_6
CITtcm_b, icit_6 --> icit_m_6
OAAt2m_f, oaa_1_2 --> oaa_m_1_2
OAAt2m_f, oaa_1_2_3 --> oaa_m_1_2_3
CITtam_f, cit_2_3 --> cit_m_2_3
CITtam_f, cit_2 --> cit_m_2
ACLSm, pyr_m_1_2_3 + pyr_m_2_3 --> alac-S_m_1_2_3_4_5
ETOHt_b, etoh_1 --> etoh_e_1
ENO_f, 2pg_2_3 --> pep_2_3
ENO_f, 2pg_3 --> pep_3
ETOHt_b, etoh_1_2 --> etoh_e_1_2
ACHBSm, 2obut_m_1_2_3_4 + pyr_m_2_3 --> 2ahbut_m_1_2_3_4_5_6
ACL, cit_1 --> oaa_1
LEUTA_b, glu-L_3 --> akg_3
LEUTA_b, glu-L_2_3_4_5 --> akg_2_3_4_5
ACHBSm, pyr_m_1 --> co2_m_1
ACONTm_b, icit_m_3_5_6 --> cit_m_3_5_6
ACONTm_b, icit_m_4 --> cit_m_4
ACONTm_b, icit_m_5 --> cit_m_5
ACONTm_b, icit_m_3_5 --> cit_m_3_5
CITtam_f, cit_3 --> cit_m_3
CITtam_f, cit_3_4_5 --> cit_m_3_4_5
CITtam_f, cit_3_4 --> cit_m_3_4
CITtam_f, cit_2_3_5_6 --> cit_m_2_3_5_6
3C4MOPtm_f, 3c4mop_1_2_3_4_5_6 --> 3c4mop_m_1_2_3_4_5_6
3MOBtm_b, 3mob_m_1_2_3_4 --> 3mob_1_2_3_4
3MOBtm_f, 3mob_1_2_3_4_5 --> 3mob_m_1_2_3_4_5
3C4MOPtm_f, 3c4mop_7 --> 3c4mop_m_7
ICDHxm, icit_m_1 --> akg_m_1
HSK, hom-L_4 --> phom_4
HSK, hom-L_3_4 --> phom_3_4
ENO_f, 2pg_2 --> pep_2
CITtam_b, cit_m_3_4_5_6 --> cit_3_4_5_6
CITtam_b, cit_m_3_4 --> cit_3_4
CITtam_b, cit_m_3_5 --> cit_3_5
CITtam_b, cit_m_3_4_5 --> cit_3_4_5
6PGLter_b, 6pgl_r_6 --> 6pgl_6
6PGLter_f, 6pgl_1 --> 6pgl_r_1
6PGLter_b, 6pgl_r_5_6 --> 6pgl_5_6
MALtm_b, mal-L_m_3_4 --> mal-L_3_4
MALtm_b, mal-L_m_1_2_3_4 --> mal-L_1_2_3_4
MALtm_f, mal-L_1 --> mal-L_m_1
MALtm_b, mal-L_m_2 --> mal-L_2
MALtm_b, mal-L_m_4 --> mal-L_4
MALtm_b, mal-L_m_3 --> mal-L_3
MALtm_b, mal-L_m_2_3_4 --> mal-L_2_3_4
MALtm_b, mal-L_m_2_3 --> mal-L_2_3
ENO_b, pep_2 --> 2pg_2
DHAD2m, 23dhmp_m_1_2_3_4_5_6 --> 3mop_m_1_2_3_4_5_6
ENO_b, pep_1_2 --> 2pg_1_2
DHQS, 2dda7p_1_2_3_4_5_6_7 --> 3dhq_1_2_3_4_5_6_7
ENO_b, pep_1_2_3 --> 2pg_1_2_3
ENO_b, pep_1 --> 2pg_1
DHAD1m, 23dhmb_m_5 --> 3mob_m_5
DHQTi, 3dhq_1_2_3_4_5_6_7 --> 3dhsk_1_2_3_4_5_6_7
AKGDam, akg_m_2_3 --> sdhlam_m_1_2
AATA_b, akg_4 --> glu-L_4
3MOBtm_b, 3mob_m_1_2_3_4_5 --> 3mob_1_2_3_4_5
ASPTAm_b, oaa_m_2_3_4 --> asp-L_m_2_3_4
ASPTAm_b, oaa_m_1_2_3 --> asp-L_m_1_2_3
ASPTAm_b, oaa_m_2 --> asp-L_m_2
ASPTAm_b, oaa_m_1_2_3_4 --> asp-L_m_1_2_3_4
ASPTAm_b, oaa_m_2_3 --> asp-L_m_2_3
ASPTAm_b, oaa_m_3 --> asp-L_m_3
3MOBtm_b, 3mob_m_5 --> 3mob_5
3MOBtm_f, 3mob_1_2_3_4 --> 3mob_m_1_2_3_4
LEUTA_f, akg_2_3_4_5 --> glu-L_2_3_4_5
LEUTA_f, akg_3_4_5 --> glu-L_3_4_5
LEUTA_b, glu-L_4 --> akg_4
LEUTAm_b, glu-L_m_1 --> akg_m_1
LEUTA_f, akg_2_3 --> glu-L_2_3
LEUTA_f, akg_2_3_4 --> glu-L_2_3_4
LEUTA_f, akg_5 --> glu-L_5
LEUTA_b, glu-L_4_5 --> akg_4_5
LEUTA_f, akg_2 --> glu-L_2
LEUTA_f, akg_4_5 --> glu-L_4_5
LEUTA_f, akg_3_4 --> glu-L_3_4
LEUTA_f, akg_1 --> glu-L_1
LEUTAm_b, glu-L_m_1_2_3_4_5 --> akg_m_1_2_3_4_5
LEUTA_f, akg_4 --> glu-L_4
LEUTA_f, akg_3 --> glu-L_3
LEUTA_f, leu-L_1_2_3_4_5_6 --> 4mop_1_2_3_4_5_6
LEUTA_b, glu-L_5 --> akg_5
LEUTA_f, akg_1_2_3_4_5 --> glu-L_1_2_3_4_5
LEUTAm_b, glu-L_m_2 --> akg_m_2
OXO2Ctm_f, akg_m_2_3 --> akg_2_3
OXO2Ctm_f, akg_m_2 --> akg_2
OXO2Ctm_b, akg_5 --> akg_m_5
OXO2Ctm_f, akg_m_3 --> akg_3
OXO2Ctm_f, akg_m_1_2_3_4_5 --> akg_1_2_3_4_5
OXO2Ctm_f, akg_m_2_3_4_5 --> akg_2_3_4_5
OXO2Ctm_b, akg_4_5 --> akg_m_4_5
OXO2Ctm_b, akg_4 --> akg_m_4
OXO2Ctm_b, oxag_m_5 --> oxag_5
OXO2Ctm_f, akg_m_2_3_4 --> akg_2_3_4
OXO2Ctm_f, akg_m_1 --> akg_1
GLUDyi, akg_4 --> glu-L_4
GLUDyi, akg_5 --> glu-L_5
GLUDyi, akg_4_5 --> glu-L_4_5
GLUDyi, akg_2_3_4_5 --> glu-L_2_3_4_5
GLUPRT, gln-L_1 --> glu-L_1
GLUPRT, gln-L_1_2_3_4_5 --> glu-L_1_2_3_4_5
GLUDyi, akg_3_4_5 --> glu-L_3_4_5
GLUDyi, akg_2_3_4 --> glu-L_2_3_4
GLUPRT, gln-L_2 --> glu-L_2
GLUDyi, akg_3_4 --> glu-L_3_4
GLUDyi, akg_3 --> glu-L_3
ILETAm_f, akg_m_2 --> glu-L_m_2
ILETAm_f, akg_m_3_4_5 --> glu-L_m_3_4_5
ILETAm_f, akg_m_5 --> glu-L_m_5
ILETAm_f, akg_m_3 --> glu-L_m_3
ILETAm_f, akg_m_2_3_4_5 --> glu-L_m_2_3_4_5
ILETAm_f, akg_m_3_4 --> glu-L_m_3_4
ILETAm_f, akg_m_4_5 --> glu-L_m_4_5
ILETAm_f, akg_m_2_3 --> glu-L_m_2_3
ILETAm_f, akg_m_4 --> glu-L_m_4
ILETAm_f, ile-L_m_1_2_3_4_5_6 --> 3mop_m_1_2_3_4_5_6
ILETAm_f, akg_m_2_3_4 --> glu-L_m_2_3_4
MDH_f, (0.5) mal-L_2 --> (0.5) oaa_2
MDH_f, (0.5) mal-L_2 --> (0.5) oaa_3
MDH_f, mal-L_2_3 --> oaa_2_3
MDH_f, (0.5) mal-L_1_2_3 --> (0.5) oaa_1_2_3
MDH_f, (0.5) mal-L_2_3_4 --> (0.5) oaa_2_3_4
MDH_f, (0.5) mal-L_2_3_4 --> (0.5) oaa_1_2_3
