3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
SACCD2_b, akg_1 --> saccrp-L_1
SACCD1_f, glu-L_3 --> saccrp-L_3
SACCD1_f, glu-L_5 --> saccrp-L_5
SACCD2_b, akg_2_3 --> saccrp-L_2_3
SACCD1_f, glu-L_3_4_5 --> saccrp-L_3_4_5
SACCD2_b, akg_1_2_3_4_5 --> saccrp-L_1_2_3_4_5
SACCD1_f, glu-L_4_5 --> saccrp-L_4_5
SACCD1_f, glu-L_4 --> saccrp-L_4
PGI_f, g6p_5 --> f6p_5
PGI_f, g6p_4_5 --> f6p_4_5
PGI_f, g6p_4_5_6 --> f6p_4_5_6
PGK_b, 13dpg_1_2_3 --> 3pg_1_2_3
PGI_f, g6p_6 --> f6p_6
PGK_b, 13dpg_2 --> 3pg_2
PGI_f, g6p_5_6 --> f6p_5_6
PGK_b, 13dpg_1_2 --> 3pg_1_2
PGK_b, 13dpg_1 --> 3pg_1
PGI_f, g6p_3_4_5_6 --> f6p_3_4_5_6
PGI_f, g6p_4 --> f6p_4
TK2_b, e4p_2_3 --> f6p_4_5
TK2_b, e4p_1 --> f6p_3
TK2_b, e4p_3 --> f6p_5
TK2_b, e4p_1_2_3_4 --> f6p_3_4_5_6
TK2_b, e4p_3_4 --> f6p_5_6
TK2_b, TKC2_1_2 --> f6p_1_2
TK2_b, TKC2_1_2 + e4p_1 --> f6p_1_2_3
TK2_b, e4p_2_3_4 --> f6p_4_5_6
TK2_b, e4p_2 --> f6p_4
TK2_b, TKC2_2 --> f6p_2
TK2_b, TKC2_2 + e4p_1 --> f6p_2_3
TK1_b, g3p_1_2_3 --> xu5p-D_3_4_5
TK1_b, g3p_1 --> xu5p-D_3
THRt2m_f, thr-L_4 --> thr-L_m_4
TK1_b, TKC2_1 --> xu5p-D_1
TK1_b, TKC2_2 --> xu5p-D_2
TK1_b, TKC2_1_2 --> xu5p-D_1_2
TK1_b, g3p_2_3 --> xu5p-D_4_5
TK1_b, g3p_1_2 --> xu5p-D_3_4
TK1_b, TKC2_2 + g3p_1_2_3 --> xu5p-D_2_3_4_5
TK1_b, g3p_2 --> xu5p-D_4
PGI_f, g6p_2_3 --> f6p_2_3
PGI_f, g6p_3 --> f6p_3
PGI_b, f6p_4_5_6 --> g6p_4_5_6
PGI_f, g6p_1_2 --> f6p_1_2
PGI_b, f6p_5 --> g6p_5
PGI_f, g6p_1_2_3 --> f6p_1_2_3
PGI_b, f6p_6 --> g6p_6
PGI_b, f6p_5_6 --> g6p_5_6
PGI_f, g6p_2 --> f6p_2
PGI_b, f6p_4_5 --> g6p_4_5
PGI_f, g6p_1 --> f6p_1
MDHm_b, (0.5) oaa_m_1 --> (0.5) mal-L_m_4
